Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
588,588,0,106148,45890
589,589,0,113588,45890
590,590,0,107830,35955
591,591,0,127242,35955
592,592,0,128778,35955
593,593,0,134938,35955
594,594,0,131618,35955
595,595,0,127043,16309
596,596,0,132632,16309
597,597,0,130762,16309
598,598,0,128469,16309
599,599,0,135063,16309
600,600,0,132163,52264
601,601,0,133604,52264
602,602,0,140723,52264
603,603,0,142108,52264
604,604,0,133186,52264
605,605,0,138722,3037
606,606,0,141011,3037
607,607,0,142346,3037
608,608,0,141619,3037
609,609,0,152293,3037
610,610,0,145907,55301
611,611,0,148285,55301
612,612,0,150608,55301
613,613,0,154022,55301
614,614,0,149734,55301
615,615,0,160165,58338
616,616,0,155471,58338
617,617,0,163140,58338
618,618,0,159234,58338
619,619,0,168119,58338
620,620,0,160972,48103
621,621,0,0,48103
622,622,0,1657,48103
623,623,0,3899,48103
624,624,0,5779,48103
625,625,0,9484,40905
626,626,0,10346,40905
627,627,0,10234,40905
628,628,0,19862,40905
629,629,0,17960,40905
630,630,0,14417,23472
631,631,0,16220,23472
632,632,0,17852,23472
633,633,0,20366,23472
634,634,0,21046,23472
635,635,0,22293,64377
636,636,0,25380,64377
637,637,0,26632,64377
638,638,0,27223,64377
639,639,0,40789,64377
640,640,0,33909,22313
641,641,0,36333,22313
642,642,0,43136,22313
643,643,0,40977,22313
644,644,0,43223,22313
645,645,0,38932,21154
646,646,0,46346,21154
647,647,0,40434,21154
648,648,0,48160,21154
649,649,0,44005,21154
650,650,0,46467,43467
651,651,0,48125,43467
652,652,0,49276,43467
653,653,0,50751,43467
654,654,0,57922,43467
655,655,0,58908,64621
656,656,0,61338,64621
657,657,0,62704,64621
658,658,0,66347,64621
659,659,0,74549,64621
660,660,0,78177,42552
661,661,0,67736,42552
662,662,0,65678,42552
663,663,0,68592,42552
664,664,0,71277,42552
665,665,0,70198,41637
666,666,0,71957,41637
667,667,0,83121,41637
668,668,0,86357,41637
669,669,0,83815,41637
670,670,0,85120,18653
671,671,0,80483,18653
672,672,0,109322,18653
673,673,0,109065,18653
674,674,0,101556,18653
675,675,0,111113,60290
676,676,0,106658,60290
677,677,0,116556,60290
678,678,0,110138,60290
679,679,0,117473,60290
680,680,0,119427,13407
681,681,0,122547,13407
682,682,0,124769,13407
683,683,0,123697,13407
684,684,0,122900,13407
685,685,0,123979,8161
686,686,0,130283,8161
687,687,0,139687,8161
688,688,0,134465,8161
689,689,0,139822,8161
690,690,0,127110,21568
691,691,0,147120,21568
692,692,0,139369,21568
693,693,0,141429,21568
694,694,0,144060,21568
695,695,0,142866,29729
696,696,0,146031,29729
697,697,0,143259,29729
698,698,0,136290,29729
699,699,0,138331,29729
700,700,0,139338,51297
701,701,0,139240,51297
702,702,0,143431,51297
703,703,0,143031,51297
704,704,0,96569,51297
705,705,0,97704,15490
706,706,0,99952,15490
707,707,0,100816,15490
708,708,0,103151,15490
709,709,0,100195,15490
710,710,0,101469,1251
711,711,0,113897,1251
712,712,0,109489,1251
713,713,0,111009,1251
