Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
320,320,0,109757,62641
321,321,0,110654,62641
322,322,0,113353,62641
323,323,0,114799,7490
324,324,0,116326,7490
325,325,0,119623,7490
326,326,0,120489,7490
327,327,0,122322,7490
328,328,0,124806,4595
329,329,0,126374,4595
330,330,0,129453,4595
331,331,0,132173,4595
332,332,0,133668,4595
333,333,0,135390,12085
334,334,0,137805,12085
335,335,0,139973,12085
336,336,0,141439,12085
337,337,0,144134,12085
338,338,0,145799,16680
339,339,0,146774,16680
340,340,0,149424,16680
341,341,0,150915,16680
342,342,0,152568,16680
343,343,0,105880,28765
344,344,0,108021,28765
345,345,0,105687,28765
346,346,0,108113,28765
347,347,0,109813,28765
348,348,0,110851,45445
349,349,0,114058,45445
350,350,0,115549,45445
351,351,0,116960,45445
352,352,0,119611,45445
353,353,0,120679,8674
354,354,0,122885,8674
355,355,0,125339,8674
356,356,0,127043,8674
357,357,0,124359,8674
358,358,0,126207,54119
359,359,0,128752,54119
360,360,0,130501,54119
361,361,0,132936,54119
362,362,0,133333,54119
363,363,0,135104,62793
364,364,0,138157,62793
365,365,0,139708,62793
366,366,0,141380,62793
367,367,0,0,62793
368,368,0,1489,51376
369,369,0,3125,51376
370,370,0,4696,51376
371,371,0,6857,51376
372,372,0,8463,51376
373,373,0,10013,48633
374,374,0,12591,48633
375,375,0,14115,48633
376,376,0,16197,48633
377,377,0,17878,48633
378,378,0,19405,34473
379,379,0,21198,34473
380,380,0,24342,34473
381,381,0,25821,34473
382,382,0,27553,34473
383,383,0,30130,17570
384,384,0,32260,17570
385,385,0,35923,17570
386,386,0,37107,17570
387,387,0,38977,17570
388,388,0,40618,52043
389,389,0,43733,52043
390,390,0,45233,52043
391,391,0,46770,52043
392,392,0,49415,52043
393,393,0,50878,4077
394,394,0,52864,4077
395,395,0,55078,4077
396,396,0,56723,4077
397,397,0,58268,4077
398,398,0,60910,56120
399,399,0,61399,56120
400,400,0,63457,56120
401,401,0,66128,56120
402,402,0,67790,56120
403,403,0,69445,60197
404,404,0,72587,60197
405,405,0,74159,60197
406,406,0,75711,60197
407,407,0,78450,60197
408,408,0,79421,50781
409,409,0,80971,50781
410,410,0,83650,50781
411,411,0,85154,50781
412,412,0,86779,50781
413,413,0,87423,45442
414,414,0,89726,45442
415,415,0,90648,45442
416,416,0,93202,45442
417,417,0,95387,45442
418,418,0,96855,30687
419,419,0,98096,30687
420,420,0,117456,30687
421,421,0,119473,30687
422,422,0,120188,30687
423,423,0,122793,10593
424,424,0,124367,10593
425,425,0,126037,10593
426,426,0,128730,10593
427,427,0,130296,10593
428,428,0,131917,41280
429,429,0,134588,41280
430,430,0,136032,41280
431,431,0,138321,41280
432,432,0,140839,41280
433,433,0,142489,51873
434,434,0,144040,51873
435,435,0,146517,51873
436,436,0,147767,51873
437,437,0,149137,51873
438,438,0,151926,27617
439,439,0,153493,27617
440,440,0,155651,27617
441,441,0,158175,27617
442,442,0,159699,27617
443,443,0,161356,13954
444,444,0,114910,13954
445,445,0,115845,13954
446,446,0,118160,13954
447,447,0,120313,13954
448,448,0,122099,41571
449,449,0,122642,41571
450,450,0,125164,41571
451,451,0,127438,41571
452,452,0,128813,41571
453,453,0,131679,55525
454,454,0,133332,55525
455,455,0,135473,55525
456,456,0,138159,55525
457,457,0,139566,55525
458,458,0,136660,31560
459,459,0,143360,31560
460,460,0,144793,31560
461,461,0,148937,31560
462,462,0,151519,31560
463,463,0,152529,21549
464,464,0,154161,21549
465,465,0,156747,21549
466,466,0,158857,21549
467,467,0,160503,21549
468,468,0,0,53109
469,469,0,1465,53109
470,470,0,3096,53109
471,471,0,4533,53109
472,472,0,6238,53109
473,473,0,7666,9122
474,474,0,9821,9122
475,475,0,12531,9122
476,476,0,14086,9122
477,477,0,15678,9122
478,478,0,15949,62231
